iter	Passed	Remaining
0	0	59
1	1	55
2	1	52
3	2	48
4	2	50
5	3	50
6	3	50
7	4	49
8	4	48
9	5	47
10	5	46
11	6	45
12	6	45
13	7	44
14	7	43
15	8	42
16	8	42
17	9	42
18	9	41
19	10	40
20	10	40
21	11	39
22	11	39
23	12	39
24	12	38
25	13	38
26	14	38
27	14	37
28	15	37
29	15	36
30	16	36
31	16	35
32	17	35
33	17	34
34	18	34
35	18	33
36	19	33
37	19	32
38	20	31
39	20	31
40	21	30
41	21	29
42	22	29
43	22	28
44	23	28
45	23	27
46	24	27
47	24	26
48	25	26
49	26	26
50	26	25
51	27	25
52	28	24
53	28	24
54	29	23
55	29	23
56	30	22
57	30	22
58	31	21
59	31	21
60	31	20
61	32	19
62	33	19
63	33	18
64	34	18
65	34	17
66	35	17
67	35	16
68	36	16
69	37	15
70	37	15
71	38	14
72	38	14
73	39	13
74	39	13
75	40	12
76	41	12
77	41	11
78	42	11
79	42	10
80	43	10
81	43	9
82	44	9
83	44	8
84	45	8
85	45	7
86	46	6
87	46	6
88	47	5
89	47	5
90	48	4
91	48	4
92	49	3
93	50	3
94	50	2
95	51	2
96	51	1
97	52	1
98	52	0
99	53	0
